companyConceptProductId,centralProductId,productName,categories,itemCount,taxExempt,reportByUnit,latestPrice
691383882,201212350,Ancho Reyes Ancho Chile Liqueur,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),33.0
676361664,201212351,Ancho Reyes Verde Chile Poblano Liqueur,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (750 Milliliters),28.7
688101982,168,Anchovies,"[{'categoryId': '1151', 'percentAllocation': 100.0}]",0,False,Each,74.95
663609277,168,"Anchovies, Brown","[{'categoryId': '1059', 'percentAllocation': 100.0}]",0,False,Each,36.5
686730680,612739238,Angel's Envy Bourbon Port Barrel Finished,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (750 Milliliters),36.0
710511048,null,Angiolino Maule Rosso Masieri 2022,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),15.0
669996286,563479832,Angostura Bitters,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,16 Fluid Ounces,24.75
902492834,607174041,Angostura Orange Bitters,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (6.7 Fluid Ounces),16.0
898204271,null,Aonori,"[{'categoryId': '1059', 'percentAllocation': 100.0}]",0,False,aonori (Bag),7.15
849858798,null,Apctr08 Cont Deli 8 Oz Clr Pp,"[{'categoryId': '1135', 'percentAllocation': 100.0}]",0,False,500 Each,37.98
662166387,201212354,Aperol Aperitivo,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (Liter),29.4
995338858,null,Aperol Ready to Drink,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Each,3.04
696469958,null,API Monthly Subscription - Toast Inc.,"[{'categoryId': '365017', 'percentAllocation': 100.0}]",1,False,Other,25.0
685064711,607191807,Apostoles Gin,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,20.0
768880136,null,"Apples, Ashmead's Kernel","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Pound,8.0
1093045660,827834932,"Apples, Dried","[{'categoryId': '1067', 'percentAllocation': 100.0}]",0,False,Pound,58.0
